Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.126953,-0.029785,-0.783691,34.16,1006.543,55.98943,0.14,0.71,no
1,13.099,74.798,0.130615,-0.023926,-0.778076,34.16,1006.543,55.98841,0.14,0.71,no
1,13.099,74.798,0.113525,-0.028564,-0.78418,34.16,1006.505,56.31196,0.14,0.71,no
1,13.099,74.798,0.116455,-0.026367,-0.786133,34.16,1006.543,55.99094,0.14,0.71,no
1,13.099,74.798,0.112061,-0.031006,-0.777832,34.16,1006.557,55.87366,0.14,0.71,no
1,13.099,74.798,0.128906,-0.030273,-0.783691,34.16,1006.545,55.97679,0.14,0.71,no
1,13.099,74.798,0.125244,-0.027832,-0.777344,34.15,1006.515,56.22905,0.14,0.71,no
1,13.099,74.798,0.122314,-0.023438,-0.783447,34.15,1006.569,55.77508,0.14,0.71,no
1,13.099,74.798,0.121826,-0.029297,-0.776123,34.15,1006.528,56.11278,0.14,0.71,no
1,13.099,74.798,0.128174,-0.025146,-0.781494,34.15,1006.546,55.96718,0.14,0.71,no
1,13.099,74.798,0.130127,-0.025635,-0.774902,34.14,1006.528,56.11429,0.14,0.71,no
1,13.099,74.798,0.121338,-0.017822,-0.776123,34.14,1006.533,56.07082,0.14,0.71,no
1,13.099,74.798,0.116943,-0.022217,-0.787354,34.14,1006.546,55.96819,0.14,0.71,no
1,13.099,74.798,0.134277,-0.023193,-0.775391,34.14,1006.573,55.73565,0.14,0.71,no
1,13.099,74.798,0.128906,-0.022949,-0.783691,34.14,1006.56,55.85141,0.14,0.71,no
1,13.099,74.798,0.127197,-0.029785,-0.771973,34.14,1006.558,55.86658,0.14,0.71,no
1,13.099,74.798,0.120605,-0.023438,-0.78418,34.13,1006.61,55.43082,0.14,0.71,no
1,13.099,74.798,0.125244,-0.023926,-0.781494,34.13,1006.561,55.83928,0.14,0.71,no
1,13.099,74.798,0.127197,-0.018555,-0.76709,34.13,1006.578,55.69369,0.14,0.71,no
1,13.099,74.798,0.128174,-0.02124,-0.767578,34.13,1006.566,55.79682,0.14,0.71,no
1,13.099,74.798,0.141357,-0.011963,-0.775146,34.13,1006.556,55.88579,0.14,0.71,no
1,13.099,74.798,0.095459,-0.038574,-0.781006,34.13,1006.536,56.04604,0.14,0.71,no
1,13.099,74.798,0.112061,-0.032227,-0.771973,34.12,1006.56,55.84434,0.14,0.71,no
1,13.099,74.798,0.119385,-0.0271,-0.783936,34.12,1006.515,56.224,0.14,0.71,no
1,13.099,74.798,0.127441,-0.025879,-0.774658,34.12,1006.555,55.88781,0.14,0.71,no
1,13.099,74.798,0.126221,-0.029785,-0.782471,34.13,1006.566,55.79884,0.14,0.71,no
1,13.099,74.798,0.128174,-0.027344,-0.778564,34.13,1006.568,55.78468,0.14,0.71,no
1,13.099,74.798,0.123779,-0.017334,-0.783936,34.12,1006.541,56.0051,0.14,0.71,no
1,13.099,74.798,0.130859,-0.023926,-0.774414,34.12,1006.586,55.62848,0.14,0.71,no
1,13.099,74.798,0.132813,-0.015869,-0.772217,34.11,1006.574,55.73059,0.14,0.71,no
1,13.099,74.798,0.126709,-0.026367,-0.780029,34.11,1006.553,55.93584,0.14,0.71,no
1,13.099,74.798,0.118652,-0.026367,-0.779785,34.11,1006.56,55.84838,0.14,0.71,no
1,13.099,74.798,0.11377,-0.018555,-0.781006,34.11,1006.53,56.09559,0.14,0.71,no
1,13.099,74.798,0.142822,-0.016846,-0.768311,34.11,1006.581,55.67296,0.14,0.71,no
1,13.099,74.798,0.134033,-0.014404,-0.7771,34.1,1006.544,55.98184,0.14,0.71,no
1,13.099,74.798,0.118164,-0.023193,-0.782959,34.1,1006.544,55.98336,0.14,0.71,no
1,13.099,74.798,0.134033,-0.012695,-0.781494,34.1,1006.523,56.15676,0.14,0.71,no
1,13.099,74.798,0.125488,-0.024414,-0.782959,34.1,1006.504,56.32005,0.14,0.71,no
1,13.099,74.798,0.129639,-0.026123,-0.773926,34.1,1006.546,55.96718,0.14,0.71,no
1,13.099,74.798,0.125244,-0.013672,-0.77832,34.1,1006.528,56.1148,0.14,0.71,no
1,13.099,74.798,0.134277,-0.026611,-0.778809,34.1,1006.505,56.30589,0.14,0.71,no
1,13.099,74.798,0.12793,-0.021484,-0.775146,34.1,1006.533,56.07233,0.14,0.71,no
1,13.099,74.798,0.119141,-0.025879,-0.776611,34.1,1006.535,56.05767,0.14,0.71,no
1,13.099,74.798,0.137207,-0.018066,-0.780029,34.1,1006.518,56.20377,0.14,0.71,no
1,13.099,74.798,0.130371,-0.021484,-0.773926,34.09,1006.535,56.05919,0.14,0.71,no
1,13.099,74.798,0.126221,-0.013672,-0.774902,34.09,1006.549,55.94393,0.14,0.71,no
1,13.099,74.798,0.119141,-0.015869,-0.775146,34.09,1006.538,56.03138,0.14,0.71,no
1,13.099,74.798,0.128174,-0.019531,-0.773193,34.09,1006.55,55.92977,0.14,0.71,no
1,13.099,74.798,0.124756,-0.023926,-0.775635,34.09,1006.538,56.03138,0.14,0.71,no
1,13.099,74.798,0.119629,-0.026123,-0.780029,34.08,1006.521,56.17799,0.14,0.71,no
1,13.099,74.798,0.108398,-0.0271,-0.786133,34.08,1006.555,55.8868,0.14,0.71,no
1,13.099,74.798,0.139648,-0.012695,-0.774902,34.08,1006.547,55.9596,0.14,0.71,no
1,13.099,74.798,0.121826,-0.017822,-0.772461,34.08,1006.522,56.16333,0.14,0.71,no
1,13.099,74.798,0.13208,-0.016602,-0.780029,34.08,1006.542,55.99498,0.14,0.71,no
1,13.099,74.798,0.128906,-0.02417,-0.782227,34.08,1006.53,56.09559,0.14,0.71,no
1,13.099,74.798,0.124512,-0.016846,-0.784424,34.08,1006.525,56.14058,0.14,0.71,no
1,13.099,74.798,0.121582,-0.021729,-0.773682,34.08,1006.57,55.76143,0.14,0.71,no
1,13.099,74.798,0.124756,-0.026855,-0.775391,34.07,1006.511,56.25837,0.14,0.71,no
1,13.099,74.798,0.125244,-0.02002,-0.771973,34.07,1006.52,56.18658,0.14,0.71,no
1,13.099,74.798,0.129883,-0.018311,-0.770264,34.07,1006.546,55.96718,0.14,0.71,no
1,13.099,74.798,0.124268,-0.028076,-0.777832,34.07,1006.516,56.21742,0.14,0.71,no
1,13.099,74.798,0.148193,-0.009766,-0.774902,34.07,1006.554,55.89691,0.14,0.71,no
1,13.099,74.798,0.12793,-0.025391,-0.776123,34.07,1006.526,56.12946,0.14,0.71,no
1,13.099,74.798,0.115234,-0.015869,-0.763916,34.06,1006.528,56.11429,0.14,0.71,no
1,13.099,74.798,0.135498,-0.023193,-0.772705,34.06,1006.533,56.07082,0.14,0.71,no
1,13.099,74.798,0.124512,-0.019287,-0.780273,34.06,1006.554,55.8954,0.14,0.71,no
1,13.099,74.798,0.132813,-0.022461,-0.77832,34.06,1006.565,55.81047,0.14,0.71,no
1,13.099,74.798,0.126953,-0.021729,-0.780273,34.06,1006.517,56.20529,0.14,0.71,no
1,13.099,74.798,0.134033,-0.026123,-0.789063,34.06,1006.549,55.94241,0.14,0.71,no
1,13.099,74.798,0.12915,-0.018799,-0.781738,34.06,1006.542,56.00004,0.14,0.71,no
1,13.099,74.798,0.13916,-0.014404,-0.750732,34.06,1006.524,56.14715,0.14,0.71,no
1,13.099,74.798,0.13501,-0.027588,-0.776123,34.05,1006.547,55.9596,0.14,0.71,no
1,13.099,74.798,0.131348,-0.019775,-0.779785,34.05,1006.526,56.13502,0.14,0.71,no
1,13.099,74.798,0.130371,-0.034668,-0.78125,34.05,1006.545,56.00459,0.14,0.71,no
1,13.099,74.798,0.125488,-0.019287,-0.769287,34.05,1006.571,55.75435,0.14,0.71,no
1,13.099,74.798,0.123291,-0.022949,-0.779785,34.05,1006.542,56.00257,0.14,0.71,no
1,13.099,74.798,0.125732,-0.020996,-0.775635,34.05,1006.536,56.04857,0.14,0.71,no
1,13.099,74.798,0.132568,-0.02124,-0.779541,34.05,1006.568,55.78367,0.14,0.71,no
1,13.099,74.798,0.114014,-0.018799,-0.772217,34.05,1006.536,56.04857,0.14,0.71,no
1,13.099,74.798,0.126465,-0.013672,-0.772949,34.05,1006.528,56.12036,0.14,0.71,no
1,13.099,74.798,0.134277,-0.018311,-0.777344,34.05,1006.533,56.07789,0.14,0.71,no
1,13.099,74.798,0.130371,-0.024414,-0.766357,34.04,1006.545,55.9778,0.14,0.71,no
1,13.099,74.798,0.130859,-0.02124,-0.785156,34.04,1006.531,56.09407,0.14,0.71,no
1,13.099,74.798,0.118896,-0.022705,-0.783936,34.04,1006.511,56.25483,0.14,0.71,no
1,13.099,74.798,0.130615,-0.024658,-0.777588,34.04,1006.558,55.86153,0.14,0.71,no
1,13.099,74.798,0.123291,-0.022705,-0.771729,34.03,1006.537,56.03796,0.14,0.71,no
1,13.099,74.798,0.128906,-0.023682,-0.775391,34.04,1006.539,56.02077,0.14,0.71,no
1,13.099,74.798,0.126953,-0.025146,-0.776855,34.03,1006.553,55.90702,0.14,0.71,no
1,13.099,74.798,0.131592,-0.02002,-0.766846,34.03,1006.546,55.96516,0.14,0.71,no
1,13.099,74.798,0.129883,-0.019287,-0.783936,34.03,1006.521,56.17142,0.14,0.71,no
1,13.099,74.798,0.12793,-0.021973,-0.765137,34.03,1006.53,56.09811,0.14,0.71,no
1,13.099,74.798,0.114502,-0.014893,-0.775391,34.03,1006.542,56.02784,0.14,0.71,no
1,13.099,74.798,0.130859,-0.022461,-0.79126,34.02,1006.526,56.13097,0.14,0.71,no
1,13.099,74.798,0.112061,-0.020996,-0.778809,34.03,1006.513,56.24574,0.14,0.71,no
1,13.099,74.798,0.12793,-0.02002,-0.775146,34.02,1006.542,56.00004,0.14,0.71,no
1,13.099,74.798,0.127441,-0.024414,-0.789063,34.02,1006.523,56.1608,0.14,0.71,no
1,13.099,74.798,0.125244,-0.018555,-0.774414,34.02,1006.507,56.29174,0.14,0.71,no
1,13.099,74.798,0.126465,-0.018555,-0.777832,34.02,1006.514,56.23411,0.14,0.71,no
1,13.099,74.798,0.127197,-0.022461,-0.780518,34.02,1006.516,56.21995,0.14,0.71,no
1,13.099,74.798,0.124268,-0.018555,-0.780518,34.02,1006.523,56.16181,0.14,0.71,no
